Date In,Nights,Park Gold,Cost,Booked,Earned,Nights
11/03/2024,4,139.00,155.00,,0,0
15/03/2024,3,149.00,166.00,,0,0
18/03/2024,4,139.00,155.00,,0,0
22/03/2024,3,229.00,255.00,,0,0
25/03/2024,4,323.00,359.00,,0,0
29/03/2024,3,329.00,366.00,,0,0
01/04/2024,4,349.00,388.00,,0,0
05/04/2024,3,329.00,366.00,,0,0
08/04/2024,4,349.00,388.00,,0,0
12/04/2024,3,219.00,244.00,,0,0
15/04/2024,4,139.00,155.00,,0,0
19/04/2024,3,149.00,166.00,,0,0
22/04/2024,4,139.00,155.00,,0,0
26/04/2024,3,149.00,166.00,,0,0
29/04/2024,4,110.00,123.00,,0,0
03/05/2024,3,269.00,299.00,,0,0
06/05/2024,4,139.00,155.00,,0,0
10/05/2024,3,229.00,255.00,,0,0
13/05/2024,4,149.00,166.00,,0,0
17/05/2024,3,229.00,255.00,,0,0
20/05/2024,4,159.00,177.00,,0,0
24/05/2024,3,349.00,388.00,,0,0
27/05/2024,4,489.00,544.00,,0,0
31/05/2024,3,359.00,399.00,,0,0
03/06/2024,4,199.00,222.00,,0,0
07/06/2024,3,259.00,288.00,,0,0
10/06/2024,4,199.00,222.00,,0,0
14/06/2024,3,259.00,288.00,,0,0
17/06/2024,4,199.00,222.00,,0,0
21/06/2024,3,259.00,288.00,,0,0
24/06/2024,4,219.00,244.00,,0,0
28/06/2024,3,259.00,288.00,,0,0
01/07/2024,4,239.00,266.00,,0,0
05/07/2024,3,299.00,333.00,,0,0
08/07/2024,4,249.00,277.00,,0,0
12/07/2024,3,299.00,333.00,,0,0
15/07/2024,4,359.00,399.00,,0,0
19/07/2024,3,359.00,399.00,,0,0
22/07/2024,4,429.00,477.00,,0,0
26/07/2024,3,359.00,399.00,,0,0
29/07/2024,4,429.00,477.00,,0,0
02/08/2024,3,499.00,555.00,,0,0
05/08/2024,4,629.00,699.00,,0,0
09/08/2024,3,499.00,555.00,,0,0
12/08/2024,4,629.00,699.00,,0,0
16/08/2024,3,499.00,555.00,,0,0
19/08/2024,4,629.00,699.00,,0,0
23/08/2024,3,539.00,599.00,,0,0
26/08/2024,4,499.00,555.00,,0,0
30/08/2024,3,299.00,333.00,,0,0
02/09/2024,4,229.00,255.00,,0,0
06/09/2024,3,299.00,333.00,,0,0
09/09/2024,4,229.00,255.00,,0,0
13/09/2024,3,299.00,333.00,,0,0
16/09/2024,4,199.00,222.00,,0,0
20/09/2024,3,299.00,333.00,,0,0
23/09/2024,4,179.00,199.00,,0,0
27/09/2024,3,299.00,333.00,,0,0
30/09/2024,4,169.00,188.00,,0,0
04/10/2024,3,229.00,255.00,,0,0
07/10/2024,4,159.00,177.00,,0,0
11/10/2024,3,229.00,255.00,,0,0
14/10/2024,4,159.00,177.00,,0,0
18/10/2024,3,269.00,299.00,,0,0
21/10/2024,4,439.00,488.00,,0,0
25/10/2024,3,199.00,222.00,,0,0